Source,Target,Type,Id,Label,Weight
3521,1912,Undirected,10847,,1
3522,1912,Undirected,10848,,1
3554,1912,Undirected,10849,,1
3184,1913,Undirected,10850,,7
4782,1913,Undirected,10851,,2
5955,1913,Undirected,10852,,1
5993,1913,Undirected,10853,,2
5994,1913,Undirected,10854,,1
6215,1913,Undirected,10855,,3
6216,1913,Undirected,10856,,1
2241,1914,Undirected,10857,,8
2242,1914,Undirected,10858,,4
2243,1914,Undirected,10859,,1
2292,1914,Undirected,10860,,2
2293,1914,Undirected,10861,,1
2294,1914,Undirected,10862,,1
3835,1914,Undirected,10863,,2
3868,1914,Undirected,10864,,3
3869,1914,Undirected,10865,,1
4331,1914,Undirected,10866,,3
4333,1914,Undirected,10867,,8
4334,1914,Undirected,10868,,1
4672,1914,Undirected,10869,,2
4910,1914,Undirected,10870,,3
5305,1914,Undirected,10871,,6
5552,1914,Undirected,10872,,2
5809,1914,Undirected,10873,,4
2345,1920,Undirected,10874,,2
3627,1920,Undirected,10875,,1
4973,1920,Undirected,10876,,1
5062,1920,Undirected,10877,,1
5164,1920,Undirected,10878,,3
5216,1920,Undirected,10879,,2
5623,1920,Undirected,10880,,1
5788,1920,Undirected,10881,,1
5853,1920,Undirected,10882,,1
5893,1920,Undirected,10883,,2
5992,1920,Undirected,10884,,1
6015,1920,Undirected,10885,,3
6016,1920,Undirected,10886,,1
6119,1920,Undirected,10887,,1
6136,1920,Undirected,10888,,8
6207,1920,Undirected,10889,,4
6225,1920,Undirected,10890,,4
6277,1920,Undirected,10891,,1
6320,1920,Undirected,10892,,5
6321,1920,Undirected,10893,,1
6328,1920,Undirected,10894,,2
6427,1920,Undirected,10895,,3
6532,1920,Undirected,10896,,1
6546,1920,Undirected,10897,,2
6605,1920,Undirected,10898,,2
6613,1920,Undirected,10899,,1
6614,1920,Undirected,10900,,1
6658,1920,Undirected,10901,,4
6661,1920,Undirected,10902,,1
6677,1920,Undirected,10903,,1
6775,1920,Undirected,10904,,2
6813,1920,Undirected,10905,,1
1921,1921,Undirected,10906,,1
1928,1925,Undirected,10907,,2
1929,1925,Undirected,10908,,1
2008,1925,Undirected,10909,,1
3230,1925,Undirected,10910,,2
3832,1926,Undirected,10911,,1
4747,1928,Undirected,10912,,1
5134,1928,Undirected,10913,,1
5612,1928,Undirected,10914,,1
5809,1928,Undirected,10915,,1
4241,1929,Undirected,10916,,1
4532,1929,Undirected,10917,,5
4538,1929,Undirected,10918,,1
4694,1929,Undirected,10919,,1
5192,1929,Undirected,10920,,1
7054,1929,Undirected,10921,,1
1931,1930,Undirected,10922,,1
4779,1932,Undirected,10923,,1
3560,1933,Undirected,10924,,2
5824,1933,Undirected,10925,,1
3228,1934,Undirected,10926,,1
1935,1935,Undirected,10927,,1
4437,1935,Undirected,10928,,2
2092,1936,Undirected,10929,,1
2093,1936,Undirected,10930,,1
2147,1936,Undirected,10931,,8
2148,1936,Undirected,10932,,1
2647,1936,Undirected,10933,,1
4239,1936,Undirected,10934,,1
4247,1936,Undirected,10935,,1
